165, -4252530, -5633141, -6199104
166, -4252530, -5592653, -6309618
167, -4252530, -5693926, -24080888
168, -4252530, -5630039, -6349957
169, -4252530, -5608839, -6318859
170, -4252530, -5611539, -6519569
171, -4217105, -5640418, -6486263
172, -4217105, -5611575, -6360611
173, -4217105, -5697499, -23698479
174, -4217105, -5622617, -6380894
175, -4217105, -5720294, -24643435
176, -4217105, -5612520, -6413042
177, -4217105, -5607042, -6269637
178, -4217105, -5619234, -6290616
179, -4217105, -5597307, -6334418
180, -4217105, -5615812, -6354099
181, -4217105, -5615114, -6419895
182, -4217105, -5627840, -6514938
183, -4208234, -5625101, -6610626
184, -4208234, -5585018, -6368150
185, -4208234, -5710557, -24197170
186, -4208234, -5612593, -6339483
187, -4208234, -5652602, -6592578
188, -4208234, -5716929, -24570584
189, -4208234, -5639900, -6389663
190, -4196511, -5705392, -24744777
191, -4196511, -5710715, -24423908
192, -4196511, -5722005, -24963237
193, -4196511, -5599841, -6590496
194, -4196511, -5742674, -24415718
195, -4196511, -5655880, -6283214
196, -4172061, -5601179, -6421713
197, -4169675, -5594931, -6427809
198, -4169675, -5684841, -22636425
199, -4167134, -5614109, -6424723
200, -4167134, -5594798, -6595832
201, -4167134, -5617260, -6300865
202, -4167134, -5698027, -24399753
203, -4165757, -5601395, -6421897
204, -4165757, -5609010, -6410241
205, -4165757, -5597238, -6305788
206, -4165745, -5638505, -6408118
207, -4165745, -5628422, -6304510
208, -4127843, -5623578, -6411392
209, -4127843, -5607933, -6225404
210, -4127843, -5690891, -24257346
211, -4127843, -5616701, -6369758
212, -4127843, -5613813, -6256221
213, -4127843, -5596291, -6292515
214, -4127843, -5638581, -6677229
215, -4127843, -5590416, -6289102
216, -4127843, -5588006, -6420612
217, -4127843, -5613634, -6362111
218, -4127843, -5589383, -6214934
219, -4127843, -5639804, -6263816
220, -4127843, -5632609, -6453716
221, -4127843, -5620264, -6503378
222, -4127843, -5612238, -6214303
223, -4127843, -5729177, -25058170
224, -4127843, -5584345, -6375190
225, -4127843, -5617052, -6247718
226, -4127843, -5620462, -6351034
227, -4127843, -5713438, -24235219
228, -4127843, -5667072, -6395975
229, -4127843, -5645621, -6287124
230, -4127843, -5651374, -6699386
231, -4127843, -5637763, -6203356
232, -4127843, -5653765, -6345023
233, -4127843, -5632333, -6275072
234, -4127843, -5596523, -6334893
235, -4127843, -5616544, -6373352
236, -4096723, -5639101, -6404361
237, -4096723, -5612648, -6406417
238, -4096723, -5636699, -6394063
239, -4096723, -5636654, -6366850
240, -4096723, -5695772, -24683207
241, -4096723, -5604869, -6158617
242, -4096723, -5603804, -6468888
243, -4096723, -5684978, -24282801
244, -4096723, -5598137, -6317608
245, -4096723, -5635874, -6389568
246, -4096723, -5589775, -6217481
247, -4096723, -5642038, -6414496
248, -4096723, -5687251, -24493419
249, -4096723, -5613960, -6359459
250, -4094878, -5630555, -6421435
251, -4094878, -5740551, -23847676
252, -4061688, -5702106, -20421353
253, -4061688, -5639659, -6407844
254, -4061688, -5628641, -6302733
255, -4061688, -5626370, -6238519
256, -4061688, -5640747, -6347201
257, -4061688, -5674915, -6260974
258, -4061688, -5612387, -6267170
259, -4061688, -5609718, -6203674
260, -4061688, -5595516, -6295442
261, -4061688, -5636531, -6362629
262, -4052120, -5620111, -6430226
263, -4052120, -5596784, -6506682
264, -4042166, -5564476, -6297322
265, -4042166, -5584241, -6332664
266, -4025405, -5564789, -6302295
267, -4025405, -5557144, -6285203
268, -4025405, -5600338, -6224089
269, -4025405, -5602911, -6284833
270, -4025405, -5624512, -6272542
271, -4025405, -5708858, -25010761
272, -4025405, -5676858, -24634691
273, -4025405, -5618665, -6272936
274, -4025405, -5648588, -6345819
275, -4023191, -5698552, -24483975
