1, -2092076, -2230742, -2396281
2, -2092076, -2219828, -2342421
3, -2088736, -2218163, -2381196
4, -2055243, -2210543, -2371157
5, -2055243, -2216604, -2357313
6, -2055243, -2215537, -2422107
7, -2055243, -2207443, -2350962
8, -2055243, -2205575, -2331984
9, -2055243, -2211774, -2396444
10, -2055243, -2212860, -2387016
11, -2055243, -2219174, -2359377
12, -2055243, -2214730, -2357604
13, -2055243, -2214496, -2377129
14, -2055243, -2218395, -2361442
15, -2055243, -2209037, -2372156
16, -2055243, -2203834, -2337343
17, -2055243, -2204548, -2347386
18, -2007388, -2208777, -2368290
19, -2007388, -2217085, -2376559
20, -2007388, -2212833, -2389201
21, -2007388, -2209223, -2355893
22, -2007388, -2213319, -2342168
23, -2007388, -2202848, -2385624
24, -2007388, -2207795, -2354704
25, -2007388, -2231413, -2384069
26, -2007388, -2211486, -2361348
27, -2007388, -2210205, -2407199
28, -2007388, -2215397, -2377652
29, -2007388, -2207438, -2359929
30, -2007388, -2209639, -2389506
31, -2007388, -2215167, -2403185
32, -2007388, -2209899, -2389186
33, -2007388, -2220784, -2394253
34, -2007388, -2207722, -2366979
35, -2007388, -2212290, -2345325
36, -2007388, -2217886, -2423276
37, -2007388, -2211618, -2392739
38, -2007388, -2217597, -2347043
39, -2007388, -2217996, -2370632
40, -2007388, -2202237, -2364315
41, -2007388, -2219053, -2384509
42, -2007388, -2212352, -2376336
43, -2007388, -2217981, -2369123
44, -2007388, -2207044, -2363444
45, -2007388, -2212084, -2352408
46, -2007388, -2214227, -2349340
47, -2007388, -2210518, -2317750
48, -2007388, -2203435, -2377072
49, -2007388, -2208880, -2387427
50, -2007388, -2208467, -2348730
51, -2007388, -2203520, -2376592
52, -2007388, -2201501, -2349239
53, -2007388, -2210846, -2376243
54, -2007388, -2213922, -2382381
55, -2007388, -2210214, -2373388
56, -2007388, -2206159, -2390336
57, -2007388, -2206071, -2378466
58, -2007388, -2208472, -2362183
59, -2007388, -2210770, -2365360
60, -2007388, -2215470, -2359880
61, -2007388, -2212748, -2431023
62, -2007388, -2215826, -2381076
63, -2007388, -2200436, -2372014
64, -2007388, -2210905, -2389924
65, -2007388, -2201722, -2345094
66, -2007388, -2213412, -2350892
67, -2007388, -2202844, -2383763
68, -2007388, -2210840, -2371102
69, -2007388, -2208456, -2403511
70, -2007388, -2215682, -2337453
71, -2007388, -2208479, -2377273
72, -2007388, -2219727, -2354193
73, -2007388, -2202330, -2391585
74, -2004765, -2212866, -2338087
75, -2004765, -2213802, -2415439
76, -2004765, -2205693, -2347676
77, -2004765, -2210494, -2431567
78, -2004765, -2209077, -2342100
79, -2004765, -2219769, -2360280
80, -2004765, -2212944, -2362441
81, -2004765, -2216842, -2418546
82, -2004765, -2214769, -2358682
83, -2004765, -2209365, -2392995
84, -2004765, -2212122, -2404870
85, -2004765, -2203240, -2362045
86, -2004765, -2215374, -2384976
87, -2004765, -2207550, -2358728
88, -2004765, -2213337, -2345473
89, -2004765, -2213720, -2360104
90, -2004765, -2194754, -2381541
91, -2004765, -2198883, -2335622
92, -2004765, -2207127, -2368530
93, -2004765, -2207614, -2361686
94, -2004765, -2203701, -2387565
95, -2004765, -2202390, -2372515
96, -2004765, -2207916, -2371705
97, -2004765, -2204089, -2374066
98, -2004765, -2210967, -2370505
99, -2004765, -2211112, -2388860
100, -2004765, -2206862, -2367211
